time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,solving time,specified formula,obtained formula,comment,dt solving time,num primitive candidates,num primitives used,subset sizes,tree txt representation
2018-05-20 10:15,traces/generated/temp/0031.trace,6,11,1,2,5,0.267930089001311,G(x0),G(x0),,0.5903149679943454,3,1,3,experiments/experimentCheck/0031_tree.txt
2018-05-20 10:16,traces/generated/temp/0002.trace,10,10,3,3,5,50.28369125298923,"->(F(x1),U(!(x0),x1))","->(F(x1),U(!(x0),x1))",,3.1806185110035585,5,2,3,experiments/experimentCheck/0002_tree.txt
