5/23/18 11:25,traces/generated/5to10Traces/0022.trace,5,5,3,3,5,"->(F(x1),U(!(x0),x1))",2.312550057,2,1,6,experiments/dtSubset6Strategy2/0022_tree.txt,,,,50,"(50,2.3125500571914)"
5/23/18 10:35,traces/generated/5to10Traces/0024.trace,25,25,3,3,5,"->(F(x1),U(!(x0),x1))",59.18068999,2,1,6,experiments/dtSubset6Strategy2/0024_tree.txt,,,,250,"(250,59.1806899886578)"
5/23/18 9:26,traces/generated/5to10Traces/0026.trace,50,50,3,3,5,"->(F(x1),U(!(x0),x1))",114.7184789,3,1,6,experiments/dtSubset6Strategy2/0026_tree.txt,,,,500,"(500,114.718478854745)"
5/23/18 11:31,traces/generated/5to10Traces/0026.trace,50,50,3,3,5,"->(F(x1),U(!(x0),x1))",78.00537068,2,1,6,experiments/dtSubset6Strategy2/0026_tree.txt,,,,500,"(500,78.005370683968)"
5/23/18 10:29,traces/generated/5to10Traces/0028.trace,75,75,3,3,5,"->(F(x1),U(!(x0),x1))",127.0765698,3,1,6,experiments/dtSubset6Strategy2/0028_tree.txt,,,,750,"(750,127.076569763943)"
5/23/18 9:13,traces/generated/5to10Traces/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",72.97202356,2,1,6,experiments/dtSubset6Strategy2/0030_tree.txt,,,,1000,"(1000,72.9720235569402)"
5/23/18 11:27,traces/generated/5to10Traces/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",14.32612273,4,2,6,experiments/dtSubset6Strategy2/0030_tree.txt,,,,1000,"(1000,14.3261227309703)"
5/23/18 10:21,traces/generated/5to10Traces/0032.trace,125,125,3,3,5,"->(F(x1),U(!(x0),x1))",49.72768464,2,1,6,experiments/dtSubset6Strategy2/0032_tree.txt,,,,1250,"(1250,49.7276846417225)"
5/23/18 11:10,traces/generated/5to10Traces/0034.trace,150,150,3,3,5,"->(F(x1),U(!(x0),x1))",48.76498117,2,1,6,experiments/dtSubset6Strategy2/0034_tree.txt,,,,1500,"(1500,48.7649811720475)"
5/23/18 11:58,traces/generated/5to10Traces/0036.trace,175,175,3,3,5,"->(F(x1),U(!(x0),x1))",102.4971488,2,1,6,experiments/dtSubset6Strategy2/0036_tree.txt,,,,1750,"(1750,102.497148814611)"
5/23/18 11:11,traces/generated/5to10Traces/0038.trace,200,200,3,3,5,"->(F(x1),U(!(x0),x1))",86.69843609,2,1,6,experiments/dtSubset6Strategy2/0038_tree.txt,,,,2000,"(2000,86.69843608886)"
5/23/18 11:50,traces/generated/5to10Traces/0040.trace,225,225,3,3,5,"->(F(x1),U(!(x0),x1))",60.67361978,2,1,6,experiments/dtSubset6Strategy2/0040_tree.txt,,,,2250,"(2250,60.6736197839491)"
5/23/18 13:22,traces/generated/5to10Traces/0042.trace,250,250,3,3,5,"->(F(x1),U(!(x0),x1))",73.92441521,2,1,6,experiments/dtSubset6Strategy2/0042_tree.txt,,,,2500,"(2500,73.9244152149185)"
5/23/18 11:43,traces/generated/5to10Traces/0023.trace,5,5,3,3,10,"->(F(x1),U(!(x0),x1))",11.41927559,1,1,6,experiments/dtSubset6Strategy2/0023_tree.txt,,,,100,"(100,11.4192755930125)"
5/23/18 11:05,traces/generated/5to10Traces/0025.trace,25,25,3,3,10,"->(F(x1),U(!(x0),x1))",10.26331583,1,1,6,experiments/dtSubset6Strategy2/0025_tree.txt,,,,500,"(500,10.2633158261887)"
5/23/18 10:03,traces/generated/5to10Traces/0027.trace,50,50,3,3,10,"->(F(x1),U(!(x0),x1))",21.23086986,2,1,6,experiments/dtSubset6Strategy2/0027_tree.txt,,,,1000,"(1000,21.2308698622509)"
5/23/18 10:52,traces/generated/5to10Traces/0029.trace,75,75,3,3,10,"->(F(x1),U(!(x0),x1))",19.59354635,2,1,6,experiments/dtSubset6Strategy2/0029_tree.txt,,,,1500,"(1500,19.5935463486239)"
5/23/18 9:42,traces/generated/5to10Traces/0031.trace,100,100,3,3,10,"->(F(x1),U(!(x0),x1))",10.03989562,1,1,6,experiments/dtSubset6Strategy2/0031_tree.txt,,,,2000,"(2000,10.039895622991)"
5/23/18 11:36,traces/generated/5to10Traces/0031.trace,100,100,3,3,10,"->(F(x1),U(!(x0),x1))",9.788535625,1,1,6,experiments/dtSubset6Strategy2/0031_tree.txt,,,,2000,"(2000,9.7885356247425)"
5/23/18 10:50,traces/generated/5to10Traces/0033.trace,125,125,3,3,10,"->(F(x1),U(!(x0),x1))",10.23880271,1,1,6,experiments/dtSubset6Strategy2/0033_tree.txt,,,,2500,"(2500,10.2388027147389)"
5/23/18 11:39,traces/generated/5to10Traces/0035.trace,150,150,3,3,10,"->(F(x1),U(!(x0),x1))",37.68995634,3,1,6,experiments/dtSubset6Strategy2/0035_tree.txt,,,,3000,"(3000,37.6899563437327)"
5/23/18 11:40,traces/generated/5to10Traces/0039.trace,200,200,3,3,10,"->(F(x1),U(!(x0),x1))",24.00012445,2,1,6,experiments/dtSubset6Strategy2/0039_tree.txt,,,,4000,"(4000,24.0001244517043)"
5/23/18 11:27,traces/generated/5to10Traces/0041.trace,225,225,3,3,10,"->(F(x1),U(!(x0),x1))",10.30580022,1,1,6,experiments/dtSubset6Strategy2/0041_tree.txt,,,,4500,"(4500,10.3058002172037)"
5/23/18 12:40,traces/generated/5to10Traces/0043.trace,250,250,3,3,10,"->(F(x1),U(!(x0),x1))",20.12747154,2,1,6,experiments/dtSubset6Strategy2/0043_tree.txt,,,,5000,"(5000,20.1274715350009)"
