time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat,,,
5/23/2018 1:43,traces/generated/5to10OneThree/0019.trace,14,225,2,2,10,G(!(x0)),62.97098414,!(F(x0)),,2390,62.97098414,"(2390,62.97098414)"
5/22/2018 22:07,traces/generated/5to10OneThree/0021.trace,14,250,2,2,10,G(!(x0)),69.31923643,G(!(x0)),,2640,69.31923643,"(2640,69.31923643)"
5/22/2018 21:05,traces/generated/5to10twothree/0110.trace,4,5,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.345468868,G(x0),,45,0.345468868,"(45,0.345468868)"
5/22/2018 21:50,traces/generated/5to10twothree/0112.trace,14,25,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.167241354,G(x0),,195,1.167241354,"(195,1.167241354)"
5/22/2018 19:15,traces/generated/5to10twothree/0114.trace,37,50,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,435,600,"(435,600)"
5/22/2018 20:09,traces/generated/5to10twothree/0116.trace,57,75,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,660,600,"(660,600)"
5/22/2018 19:35,traces/generated/5to10twothree/0118.trace,63,100,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,815,600,"(815,600)"
5/22/2018 20:43,traces/generated/5to10twothree/0120.trace,69,125,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",5.061750855,G(x0),,970,5.061750855,"(970,5.061750855)"
5/22/2018 19:57,traces/generated/5to10twothree/0122.trace,108,150,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,1290,600,"(1290,600)"
5/22/2018 22:12,traces/generated/5to10twothree/0124.trace,104,175,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,1395,600,"(1395,600)"
5/22/2018 21:30,traces/generated/5to10twothree/0126.trace,137,200,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,1685,600,"(1685,600)"
5/22/2018 22:01,traces/generated/5to10twothree/0128.trace,163,225,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,1940,600,"(1940,600)"
5/22/2018 21:06,traces/generated/5to10twothree/0130.trace,173,250,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,2115,600,"(2115,600)"
5/22/2018 20:42,traces/generated/5to10twothree/0117.trace,1,75,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",67.67177117,"&(x1,G(x0))",,760,67.67177117,"(760,67.67177117)"
5/22/2018 19:56,traces/generated/5to10twothree/0119.trace,1,100,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",6.49187164,G(x0),,1010,6.49187164,"(1010,6.49187164)"
5/22/2018 20:30,traces/generated/5to10twothree/0121.trace,2,125,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",7.724078365,G(x0),,1270,7.724078365,"(1270,7.724078365)"
5/22/2018 21:50,traces/generated/5to10twothree/0125.trace,1,175,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",10.60221089,G(x0),,1760,10.60221089,"(1760,10.60221089)"
5/22/2018 21:05,traces/generated/5to10twothree/0127.trace,2,200,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",12.35647304,G(x0),,2020,12.35647304,"(2020,12.35647304)"
5/22/2018 21:50,traces/generated/5to10twothree/0129.trace,1,225,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",13.6644979,G(x0),,2260,13.6644979,"(2260,13.6644979)"
5/22/2018 20:46,traces/generated/5to10twothree/0131.trace,3,250,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600,2530,600,"(2530,600)"
5/22/2018 22:01,traces/generated/5to10twothree/0132.trace,5,5,1,2,5,G(x0),0.328761023,G(x0),,50,0.328761023,"(50,0.328761023)"
5/22/2018 19:46,traces/generated/5to10twothree/0134.trace,25,25,1,2,5,G(x0),1.315912111,G(x0),,250,1.315912111,"(250,1.315912111)"
5/22/2018 20:43,traces/generated/5to10twothree/0136.trace,50,50,1,2,5,G(x0),2.44494785,G(x0),,500,2.44494785,"(500,2.44494785)"
5/22/2018 19:56,traces/generated/5to10twothree/0138.trace,75,75,1,2,5,G(x0),3.354947198,G(x0),,750,3.354947198,"(750,3.354947198)"
5/22/2018 19:46,traces/generated/5to10twothree/0140.trace,100,100,1,2,5,G(x0),4.652313683,G(x0),,1000,4.652313683,"(1000,4.652313683)"
5/22/2018 20:32,traces/generated/5to10twothree/0142.trace,125,125,1,2,5,G(x0),5.705522854,G(x0),,1250,5.705522854,"(1250,5.705522854)"
5/22/2018 21:05,traces/generated/5to10twothree/0144.trace,150,150,1,2,5,G(x0),6.476046223,G(x0),,1500,6.476046223,"(1500,6.476046223)"
5/22/2018 21:50,traces/generated/5to10twothree/0146.trace,175,175,1,2,5,G(x0),7.559952196,G(x0),,1750,7.559952196,"(1750,7.559952196)"
5/22/2018 21:05,traces/generated/5to10twothree/0148.trace,200,200,1,2,5,G(x0),8.798679754,G(x0),,2000,8.798679754,"(2000,8.798679754)"
5/22/2018 21:40,traces/generated/5to10twothree/0150.trace,225,225,1,2,5,G(x0),9.451653589,G(x0),,2250,9.451653589,"(2250,9.451653589)"
5/22/2018 20:46,traces/generated/5to10twothree/0152.trace,250,250,1,2,5,G(x0),10.69715627,G(x0),,2500,10.69715627,"(2500,10.69715627)"
5/22/2018 19:15,traces/generated/5to10twothree/0135.trace,2,25,1,2,10,G(x0),1.744313037,G(x0),,270,1.744313037,"(270,1.744313037)"
5/22/2018 20:30,traces/generated/5to10twothree/0137.trace,2,50,1,2,10,G(x0),3.068281207,G(x0),,520,3.068281207,"(520,3.068281207)"
5/22/2018 19:45,traces/generated/5to10twothree/0139.trace,3,75,1,2,10,G(x0),4.982700368,G(x0),,780,4.982700368,"(780,4.982700368)"
5/22/2018 20:07,traces/generated/5to10twothree/0141.trace,7,100,1,2,10,G(x0),6.292305369,G(x0),,1070,6.292305369,"(1070,6.292305369)"
5/22/2018 20:46,traces/generated/5to10twothree/0143.trace,5,125,1,2,10,G(x0),7.206588879,G(x0),,1300,7.206588879,"(1300,7.206588879)"
5/22/2018 21:26,traces/generated/5to10twothree/0145.trace,4,150,1,2,10,G(x0),9.083204679,G(x0),,1540,9.083204679,"(1540,9.083204679)"
5/22/2018 22:11,traces/generated/5to10twothree/0147.trace,12,175,1,2,10,G(x0),10.68310165,G(x0),,1870,10.68310165,"(1870,10.68310165)"
5/22/2018 21:30,traces/generated/5to10twothree/0149.trace,11,200,1,2,10,G(x0),11.81597448,G(x0),,2110,11.81597448,"(2110,11.81597448)"
5/22/2018 21:51,traces/generated/5to10twothree/0151.trace,13,225,1,2,10,G(x0),12.95420331,G(x0),,2380,12.95420331,"(2380,12.95420331)"
5/22/2018 21:05,traces/generated/5to10twothree/0153.trace,11,250,1,2,10,G(x0),14.63629825,G(x0),,2610,14.63629825,"(2610,14.63629825)"
