time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-20 11:02,traces/generated/freshTests/0070.trace,50,50,4,3,5,"G(->(x1,G(!(x0))))",50.522227592766285,1,1,10,experiments/dtStrategy2SubsetSize10/0070_tree.txt
2018-05-20 11:03,traces/generated/freshTests/0173.trace,8,100,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.0375280641019344,1,1,10,experiments/dtStrategy2SubsetSize10/0173_tree.txt
2018-05-20 11:03,traces/generated/freshTests/0257.trace,400,400,2,3,8,"->(F(x1),U(x0,x1))",61.09007113985717,2,1,10,experiments/dtStrategy2SubsetSize10/0257_tree.txt
2018-05-20 11:04,traces/generated/freshTests/0238.trace,100,100,2,3,5,"->(F(x1),U(x0,x1))",31.087886920198798,2,1,10,experiments/dtStrategy2SubsetSize10/0238_tree.txt
2018-05-20 11:05,traces/generated/freshTests/0051.trace,300,300,3,3,3,"->(F(x1),U(!(x0),x1))",85.63876217417419,2,1,10,experiments/dtStrategy2SubsetSize10/0051_tree.txt
2018-05-20 11:06,traces/generated/freshTests/0219.trace,350,350,1,2,3,G(x0),0.9149043746292591,1,1,10,experiments/dtStrategy2SubsetSize10/0219_tree.txt
2018-05-20 11:06,traces/generated/freshTests/0152.trace,300,67,1,2,8,F(x0),1.1204238403588533,1,1,10,experiments/dtStrategy2SubsetSize10/0152_tree.txt
2018-05-20 11:06,traces/generated/freshTests/0276.trace,200,200,3,3,3,"G(->(x1,G(x0)))",10.537376230582595,1,1,10,experiments/dtStrategy2SubsetSize10/0276_tree.txt
2018-05-20 11:06,traces/generated/freshTests/0215.trace,50,250,1,2,8,G(x0),1.0562773291021585,1,1,10,experiments/dtStrategy2SubsetSize10/0215_tree.txt
2018-05-20 11:06,traces/generated/freshTests/0131.trace,500,271,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,/,10,experiments/dtStrategy2SubsetSize10/0131_tree.txt
2018-05-20 11:17,traces/generated/freshTests/0287.trace,235,350,3,3,8,"G(->(x1,G(x0)))",34.844423700124025,1,1,10,experiments/dtStrategy2SubsetSize10/0287_tree.txt
2018-05-20 11:17,traces/generated/freshTests/0032.trace,109,500,2,2,8,G(!(x0)),4.548095878213644,1,1,10,experiments/dtStrategy2SubsetSize10/0032_tree.txt
2018-05-20 11:17,traces/generated/freshTests/0182.trace,9,250,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.9418865349143744,1,1,10,experiments/dtStrategy2SubsetSize10/0182_tree.txt
2018-05-20 11:17,traces/generated/freshTests/0234.trace,50,50,2,3,3,"->(F(x1),U(x0,x1))",7.34419621899724,1,1,10,experiments/dtStrategy2SubsetSize10/0234_tree.txt
2018-05-20 11:17,traces/generated/freshTests/0110.trace,150,80,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",88.34161719679832,2,1,10,experiments/dtStrategy2SubsetSize10/0110_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0013.trace,200,200,2,2,5,G(!(x0)),2.088286615908146,1,1,10,experiments/dtStrategy2SubsetSize10/0013_tree.txt
2018-05-20 11:19,traces/generated/freshTests/0081.trace,250,250,4,3,3,"G(->(x1,G(!(x0))))",201.44302828609943,3,1,10,experiments/dtStrategy2SubsetSize10/0081_tree.txt
2018-05-20 11:22,traces/generated/freshTests/0047.trace,200,200,3,3,8,"->(F(x1),U(!(x0),x1))",213.857906665653,2,1,10,experiments/dtStrategy2SubsetSize10/0047_tree.txt
2018-05-20 11:26,traces/generated/freshTests/0028.trace,450,450,2,2,5,G(!(x0)),3.0660066511482,1,1,10,experiments/dtStrategy2SubsetSize10/0028_tree.txt
2018-05-20 11:26,traces/generated/freshTests/0260.trace,450,450,2,3,8,"->(F(x1),U(x0,x1))",66.37057664990425,2,1,10,experiments/dtStrategy2SubsetSize10/0260_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0144.trace,200,200,1,2,3,F(x0),0.4691691007465124,1,1,10,experiments/dtStrategy2SubsetSize10/0144_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0009.trace,150,150,2,2,3,G(!(x0)),1.569075234234333,1,1,10,experiments/dtStrategy2SubsetSize10/0009_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0066.trace,5,5,4,3,3,"G(->(x1,G(!(x0))))",21.215253584086895,2,1,10,experiments/dtStrategy2SubsetSize10/0066_tree.txt
2018-05-20 11:27,traces/generated/freshTests/0241.trace,150,150,2,3,5,"->(F(x1),U(x0,x1))",33.54882644675672,2,1,10,experiments/dtStrategy2SubsetSize10/0241_tree.txt
2018-05-20 11:28,traces/generated/freshTests/0165.trace,5,5,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.4340219609439373,1,1,10,experiments/dtStrategy2SubsetSize10/0165_tree.txt
2018-05-20 11:28,traces/generated/freshTests/0198.trace,5,5,1,2,3,G(x0),0.3750704787671566,1,1,10,experiments/dtStrategy2SubsetSize10/0198_tree.txt
2018-05-20 11:28,traces/generated/freshTests/0169.trace,33,50,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy2SubsetSize10/0169_tree.txt
2018-05-20 11:38,traces/generated/freshTests/0194.trace,17,450,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy2SubsetSize10/0194_tree.txt
2018-05-20 11:48,traces/generated/freshTests/0106.trace,100,100,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",29.20277894847095,2,2,10,experiments/dtStrategy2SubsetSize10/0106_tree.txt
2018-05-20 11:48,traces/generated/freshTests/0222.trace,400,400,1,2,3,G(x0),1.225265085697174,1,1,10,experiments/dtStrategy2SubsetSize10/0222_tree.txt
2018-05-20 11:48,traces/generated/freshTests/0005.trace,7,50,2,2,8,G(!(x0)),3.77381731569767,1,1,10,experiments/dtStrategy2SubsetSize10/0005_tree.txt
2018-05-20 11:49,traces/generated/freshTests/0097.trace,500,500,4,3,5,"G(->(x1,G(!(x0))))",60.87554797530174,1,1,10,experiments/dtStrategy2SubsetSize10/0097_tree.txt
2018-05-20 11:50,traces/generated/freshTests/0127.trace,450,450,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,/,10,experiments/dtStrategy2SubsetSize10/0127_tree.txt
2018-05-20 12:00,traces/generated/freshTests/0203.trace,13,50,1,2,8,G(x0),0.9757385663688183,1,1,10,experiments/dtStrategy2SubsetSize10/0203_tree.txt
2018-05-20 12:00,traces/generated/freshTests/0291.trace,450,450,3,3,3,"G(->(x1,G(x0)))",28.957996452227235,2,1,10,experiments/dtStrategy2SubsetSize10/0291_tree.txt
2018-05-20 12:00,traces/generated/freshTests/0148.trace,250,250,1,2,5,F(x0),0.8574177045375109,1,1,10,experiments/dtStrategy2SubsetSize10/0148_tree.txt
2018-05-20 12:00,traces/generated/freshTests/0024.trace,400,400,2,2,3,G(!(x0)),2.12143942900002,1,1,10,experiments/dtStrategy2SubsetSize10/0024_tree.txt
2018-05-20 12:00,traces/generated/freshTests/0256.trace,400,400,2,3,5,"->(F(x1),U(x0,x1))",34.113116055727005,2,1,10,experiments/dtStrategy2SubsetSize10/0256_tree.txt
2018-05-20 12:01,traces/generated/freshTests/0172.trace,71,100,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.6453981772065163,1,1,10,experiments/dtStrategy2SubsetSize10/0172_tree.txt
2018-05-20 12:01,traces/generated/freshTests/0239.trace,100,100,2,3,8,"->(F(x1),U(x0,x1))",7.5615523010492325,2,1,10,experiments/dtStrategy2SubsetSize10/0239_tree.txt
2018-05-20 12:01,traces/generated/freshTests/0071.trace,40,50,4,3,8,"G(->(x1,G(!(x0))))",504.6052421350032,2,1,10,experiments/dtStrategy2SubsetSize10/0071_tree.txt
2018-05-20 12:09,traces/generated/freshTests/0218.trace,58,300,1,2,8,G(x0),1.0120824556797743,1,1,10,experiments/dtStrategy2SubsetSize10/0218_tree.txt
2018-05-20 12:09,traces/generated/freshTests/0277.trace,200,200,3,3,5,"G(->(x1,G(x0)))",21.23051506653428,1,1,10,experiments/dtStrategy2SubsetSize10/0277_tree.txt
2018-05-20 12:10,traces/generated/freshTests/0153.trace,350,350,1,2,3,F(x0),0.9327921289950609,1,1,10,experiments/dtStrategy2SubsetSize10/0153_tree.txt
2018-05-20 12:10,traces/generated/freshTests/0050.trace,250,250,3,3,8,"->(F(x1),U(!(x0),x1))",12.666256032884121,1,1,10,experiments/dtStrategy2SubsetSize10/0050_tree.txt
2018-05-20 12:10,traces/generated/freshTests/0033.trace,5,5,3,3,3,"->(F(x1),U(!(x0),x1))",23.694176955148578,2,1,10,experiments/dtStrategy2SubsetSize10/0033_tree.txt
2018-05-20 12:10,traces/generated/freshTests/0130.trace,500,500,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,/,10,experiments/dtStrategy2SubsetSize10/0130_tree.txt
2018-05-20 12:20,traces/generated/freshTests/0214.trace,250,250,1,2,5,G(x0),0.8178636059165001,1,1,10,experiments/dtStrategy2SubsetSize10/0214_tree.txt
2018-05-20 12:20,traces/generated/freshTests/0286.trace,350,350,3,3,5,"G(->(x1,G(x0)))",16.572138456627727,1,1,10,experiments/dtStrategy2SubsetSize10/0286_tree.txt
2018-05-20 12:21,traces/generated/freshTests/0012.trace,200,200,2,2,3,G(!(x0)),1.3037594482302666,1,1,10,experiments/dtStrategy2SubsetSize10/0012_tree.txt
2018-05-20 12:21,traces/generated/freshTests/0080.trace,140,200,4,3,8,"G(->(x1,G(!(x0))))",332.1580446921289,2,1,10,experiments/dtStrategy2SubsetSize10/0080_tree.txt
2018-05-20 12:26,traces/generated/freshTests/0183.trace,300,300,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy2SubsetSize10/0183_tree.txt
2018-05-20 12:36,traces/generated/freshTests/0111.trace,200,200,4,3,3,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,/,10,experiments/dtStrategy2SubsetSize10/0111_tree.txt
2018-05-20 12:46,traces/generated/freshTests/0235.trace,50,50,2,3,5,"->(F(x1),U(x0,x1))",30.00044864229858,2,1,10,experiments/dtStrategy2SubsetSize10/0235_tree.txt
2018-05-20 12:47,traces/generated/freshTests/0145.trace,200,200,1,2,5,F(x0),0.7312364187091589,1,1,10,experiments/dtStrategy2SubsetSize10/0145_tree.txt
2018-05-20 12:47,traces/generated/freshTests/0261.trace,500,500,2,3,3,"->(F(x1),U(x0,x1))",44.816226940602064,3,1,10,experiments/dtStrategy2SubsetSize10/0261_tree.txt
2018-05-20 12:47,traces/generated/freshTests/0046.trace,200,200,3,3,5,"->(F(x1),U(!(x0),x1))",134.85736196115613,2,1,10,experiments/dtStrategy2SubsetSize10/0046_tree.txt
2018-05-20 12:50,traces/generated/freshTests/0029.trace,85,450,2,2,8,G(!(x0)),4.450059304013848,1,1,10,experiments/dtStrategy2SubsetSize10/0029_tree.txt
2018-05-20 12:50,traces/generated/freshTests/0199.trace,5,5,1,2,5,G(x0),0.5397394802421331,1,1,10,experiments/dtStrategy2SubsetSize10/0199_tree.txt
2018-05-20 12:50,traces/generated/freshTests/0164.trace,500,98,1,2,8,F(x0),1.2386960200965405,1,1,10,experiments/dtStrategy2SubsetSize10/0164_tree.txt
2018-05-20 12:50,traces/generated/freshTests/0240.trace,150,150,2,3,3,"->(F(x1),U(x0,x1))",8.40338490344584,1,1,10,experiments/dtStrategy2SubsetSize10/0240_tree.txt
