time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat
5/22/18 20:23,traces/generated/5to10OneThree/0065.trace,46,250,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 20:33,traces/generated/5to10OneThree/0048.trace,50,50,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 20:48,traces/generated/5to10OneThree/0052.trace,100,100,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 21:01,traces/generated/5to10OneThree/0045.trace,2,5,4,3,10,"G(->(x1,G(!(x0))))",14.60205197,"&(x0,!(X(x1)))",
5/22/18 21:02,traces/generated/5to10OneThree/0064.trace,250,250,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 21:22,traces/generated/5to10OneThree/0049.trace,12,50,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 21:46,traces/generated/5to10OneThree/0053.trace,16,100,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 22:08,traces/generated/5to10OneThree/0063.trace,56,225,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 22:39,traces/generated/5to10OneThree/0058.trace,175,175,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 22:54,traces/generated/5to10OneThree/0054.trace,125,125,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 23:10,traces/generated/5to10OneThree/0062.trace,225,225,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 23:38,traces/generated/5to10OneThree/0059.trace,39,175,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/22/18 23:58,traces/generated/5to10OneThree/0055.trace,23,125,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/23/18 0:28,traces/generated/5to10OneThree/0061.trace,42,200,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/23/18 0:55,traces/generated/5to10OneThree/0056.trace,150,150,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/23/18 1:12,traces/generated/5to10OneThree/0060.trace,200,200,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600
5/23/18 1:54,traces/generated/5to10OneThree/0057.trace,23,150,4,3,10,"G(->(x1,G(!(x0))))",/,/,timeout: 600
