time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,solving time,specified formula,obtained formula,comment
2018-03-12 21:50,"traces/generated/moreDetailedTest/abscence+->(F(x1), U(!(x0),x1))
+500.trace",500,500,3,3,5,/,"->(F(x1),U(!(x0),x1))",/,timeout
2018-03-12 22:21,"traces/generated/moreDetailedTest/existence+G(&(x0,->(!(x1),U(!(x1),&(x2, !(x1))))))+300.trace",174,300,6,4,5,/,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,timeout
2018-03-12 22:31,"traces/generated/moreDetailedTest/abscence+G(->(x1, G(!(x0))))+300.trace",300,300,4,3,5,/,"G(->(x1,G(!(x0))))",/,timeout
2018-03-12 22:41,"traces/generated/moreDetailedTest/abscence+->(F(x1), U(!(x0),x1))
+250.trace",250,250,3,3,5,/,"->(F(x1),U(!(x0),x1))",/,timeout
2018-03-12 23:07,"traces/generated/moreDetailedTest/abscence+->(F(x1), U(!(x0),x1))
+175.trace",175,175,3,3,5,/,"->(F(x1),U(!(x0),x1))",/,timeout
2018-03-12 23:17,"traces/generated/moreDetailedTest/abscence+G(->(x1, G(!(x0))))+175.trace",175,175,4,3,5,/,"G(->(x1,G(!(x0))))",/,timeout
2018-03-12 23:33,"traces/generated/moreDetailedTest/existence+G(&(x0,->(!(x1),U(!(x1),&(x2, !(x1))))))+500.trace",331,500,6,4,5,/,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,timeout
2018-03-12 23:45,"traces/generated/moreDetailedTest/existence+G(&(x0,->(!(x1),U(!(x1),&(x2, !(x1))))))+200.trace",124,200,6,4,5,/,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,timeout
2018-03-12 23:55,"traces/generated/moreDetailedTest/abscence+G(->(x1, G(!(x0))))+250.trace",250,250,4,3,5,/,"G(->(x1,G(!(x0))))",/,timeout
2018-03-13 00:17,"traces/generated/moreDetailedTest/universality+G(->(x1, G(x0)))+350.trace",350,350,3,3,5,/,"G(->(x1,G(x0)))",/,timeout
2018-03-13 00:27,"traces/generated/moreDetailedTest/existence+|(G(!(x0)),F(&(x0, F(x1))))
+125.trace",125,125,4,3,5,/,"|(G(!(x0)),F(&(x0,F(x1))))",/,timeout
2018-03-13 00:40,"traces/generated/moreDetailedTest/abscence+->(F(x1), U(!(x0),x1))
+350.trace",350,350,3,3,5,/,"->(F(x1),U(!(x0),x1))",/,timeout
2018-03-13 00:54,"traces/generated/moreDetailedTest/existence+|(G(!(x0)),F(&(x0, F(x1))))
+100.trace",100,100,4,3,5,/,"|(G(!(x0)),F(&(x0,F(x1))))",/,timeout
2018-03-13 01:07,"traces/generated/moreDetailedTest/abscence+->(F(x1), U(!(x0),x1))
+200.trace",200,200,3,3,5,/,"->(F(x1),U(!(x0),x1))",/,timeout
2018-03-13 01:17,"traces/generated/moreDetailedTest/existence+G(&(x0,->(!(x1),U(!(x1),&(x2, !(x1))))))+100.trace",70,100,6,4,5,/,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,timeout
2018-03-13 01:36,"traces/generated/moreDetailedTest/existence+|(G(!(x0)),F(&(x0, F(x1))))
+150.trace",150,150,4,3,5,/,"|(G(!(x0)),F(&(x0,F(x1))))",/,timeout
2018-03-13 01:46,"traces/generated/moreDetailedTest/universality+G(->(x1, G(x0)))+250.trace",250,250,3,3,5,/,"G(->(x1,G(x0)))",/,timeout
2018-03-13 02:04,"traces/generated/moreDetailedTest/abscence+->(F(x1), U(!(x0),x1))
+300.trace",300,300,3,3,5,/,"->(F(x1),U(!(x0),x1))",/,timeout
