time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-20 12:09,traces/generated/freshTests/0220.trace,350,350,1,2,5,G(x0),7.778407829115167,2,1,3,experiments/dtStrategy1SubsetSize3/0220_tree.txt
2018-05-20 12:09,traces/generated/freshTests/0104.trace,50,21,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",10.03785924706608,7,2,3,experiments/dtStrategy1SubsetSize3/0104_tree.txt
2018-05-20 12:09,traces/generated/freshTests/0196.trace,368,500,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,3,experiments/dtStrategy1SubsetSize3/0196_tree.txt
2018-05-20 12:19,traces/generated/freshTests/0068.trace,2,5,4,3,8,"G(->(x1,G(!(x0))))",4.497676790924743,5,1,3,experiments/dtStrategy1SubsetSize3/0068_tree.txt
2018-05-20 12:19,traces/generated/freshTests/0095.trace,357,450,4,3,8,"G(->(x1,G(!(x0))))",/,/,/,3,experiments/dtStrategy1SubsetSize3/0095_tree.txt
2018-05-20 12:29,traces/generated/freshTests/0007.trace,100,100,2,2,5,G(!(x0)),5.9090645120013505,3,1,3,experiments/dtStrategy1SubsetSize3/0007_tree.txt
2018-05-20 12:29,traces/generated/freshTests/0151.trace,300,300,1,2,5,F(x0),7.205384047003463,1,1,3,experiments/dtStrategy1SubsetSize3/0151_tree.txt
2018-05-20 12:30,traces/generated/freshTests/0275.trace,117,150,3,3,8,"G(->(x1,G(x0)))",56.80912443087436,19,8,3,experiments/dtStrategy1SubsetSize3/0275_tree.txt
2018-05-20 12:30,traces/generated/freshTests/0288.trace,400,400,3,3,3,"G(->(x1,G(x0)))",12.159710936946794,11,4,3,experiments/dtStrategy1SubsetSize3/0288_tree.txt
2018-05-20 12:31,traces/generated/freshTests/0052.trace,300,300,3,3,5,"->(F(x1),U(!(x0),x1))",18.78578268014826,11,2,3,experiments/dtStrategy1SubsetSize3/0052_tree.txt
2018-05-20 12:31,traces/generated/freshTests/0170.trace,2,50,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.3842091450933367,6,1,3,experiments/dtStrategy1SubsetSize3/0170_tree.txt
2018-05-20 12:31,traces/generated/freshTests/0254.trace,350,350,2,3,8,"->(F(x1),U(x0,x1))",9.100603129947558,7,1,3,experiments/dtStrategy1SubsetSize3/0254_tree.txt
2018-05-20 12:31,traces/generated/freshTests/0073.trace,100,100,4,3,5,"G(->(x1,G(!(x0))))",59.980142852058634,36,10,3,experiments/dtStrategy1SubsetSize3/0073_tree.txt
2018-05-20 12:32,traces/generated/freshTests/0082.trace,250,250,4,3,5,"G(->(x1,G(!(x0))))",91.41845641797408,36,8,3,experiments/dtStrategy1SubsetSize3/0082_tree.txt
2018-05-20 12:34,traces/generated/freshTests/0010.trace,150,150,2,2,5,G(!(x0)),7.3085990969557315,5,1,3,experiments/dtStrategy1SubsetSize3/0010_tree.txt
2018-05-20 12:34,traces/generated/freshTests/0237.trace,100,100,2,3,3,"->(F(x1),U(x0,x1))",2.8544046122115105,7,2,3,experiments/dtStrategy1SubsetSize3/0237_tree.txt
2018-05-20 12:34,traces/generated/freshTests/0113.trace,200,117,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",37.35952398786321,13,4,3,experiments/dtStrategy1SubsetSize3/0113_tree.txt
2018-05-20 12:34,traces/generated/freshTests/0181.trace,158,250,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",143.946376390988,33,8,3,experiments/dtStrategy1SubsetSize3/0181_tree.txt
2018-05-20 12:37,traces/generated/freshTests/0258.trace,450,450,2,3,3,"->(F(x1),U(x0,x1))",17.13306352379732,7,2,3,experiments/dtStrategy1SubsetSize3/0258_tree.txt
2018-05-20 12:37,traces/generated/freshTests/0031.trace,500,500,2,2,5,G(!(x0)),22.40689530991949,4,1,3,experiments/dtStrategy1SubsetSize3/0031_tree.txt
2018-05-20 12:38,traces/generated/freshTests/0279.trace,250,250,3,3,3,"G(->(x1,G(x0)))",9.01991190505214,12,5,3,experiments/dtStrategy1SubsetSize3/0279_tree.txt
2018-05-20 12:38,traces/generated/freshTests/0284.trace,214,300,3,3,8,"G(->(x1,G(x0)))",90.96925418404862,26,1,3,experiments/dtStrategy1SubsetSize3/0284_tree.txt
2018-05-20 12:39,traces/generated/freshTests/0216.trace,300,300,1,2,3,G(x0),5.583184431074187,3,1,3,experiments/dtStrategy1SubsetSize3/0216_tree.txt
2018-05-20 12:39,traces/generated/freshTests/0132.trace,5,5,1,2,3,F(x0),0.7814962579868734,3,1,3,experiments/dtStrategy1SubsetSize3/0132_tree.txt
2018-05-20 12:39,traces/generated/freshTests/0109.trace,150,150,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",8.351999229984358,9,7,3,experiments/dtStrategy1SubsetSize3/0109_tree.txt
2018-05-20 12:39,traces/generated/freshTests/0242.trace,150,150,2,3,8,"->(F(x1),U(x0,x1))",23.20174832921475,10,1,3,experiments/dtStrategy1SubsetSize3/0242_tree.txt
2018-05-20 12:40,traces/generated/freshTests/0166.trace,3,5,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",0.9699979540891945,3,1,3,experiments/dtStrategy1SubsetSize3/0166_tree.txt
2018-05-20 12:40,traces/generated/freshTests/0098.trace,363,500,4,3,8,"G(->(x1,G(!(x0))))",203.06096124486066,34,7,3,experiments/dtStrategy1SubsetSize3/0098_tree.txt
2018-05-20 12:43,traces/generated/freshTests/0065.trace,500,500,3,3,8,"->(F(x1),U(!(x0),x1))",141.2263691839762,24,2,3,experiments/dtStrategy1SubsetSize3/0065_tree.txt
2018-05-20 12:46,traces/generated/freshTests/0263.trace,500,500,2,3,8,"->(F(x1),U(x0,x1))",70.12469525495544,12,2,3,experiments/dtStrategy1SubsetSize3/0263_tree.txt
2018-05-20 12:47,traces/generated/freshTests/0147.trace,250,250,1,2,3,F(x0),3.3884157799184322,3,1,3,experiments/dtStrategy1SubsetSize3/0147_tree.txt
2018-05-20 12:47,traces/generated/freshTests/0128.trace,450,228,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",151.80350531288423,33,1,3,experiments/dtStrategy1SubsetSize3/0128_tree.txt
2018-05-20 12:49,traces/generated/freshTests/0044.trace,150,150,3,3,8,"->(F(x1),U(!(x0),x1))",68.90027186018415,16,4,3,experiments/dtStrategy1SubsetSize3/0044_tree.txt
2018-05-20 12:51,traces/generated/freshTests/0027.trace,450,450,2,2,3,G(!(x0)),12.182511466089636,6,1,3,experiments/dtStrategy1SubsetSize3/0027_tree.txt
2018-05-20 12:51,traces/generated/freshTests/0048.trace,250,250,3,3,3,"->(F(x1),U(!(x0),x1))",31.46263980306685,21,2,3,experiments/dtStrategy1SubsetSize3/0048_tree.txt
2018-05-20 12:51,traces/generated/freshTests/0292.trace,450,450,3,3,5,"G(->(x1,G(x0)))",144.87987343105488,39,8,3,experiments/dtStrategy1SubsetSize3/0292_tree.txt
2018-05-20 12:54,traces/generated/freshTests/0124.trace,400,400,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",235.91938569303602,46,4,3,experiments/dtStrategy1SubsetSize3/0124_tree.txt
2018-05-20 12:58,traces/generated/freshTests/0200.trace,2,5,1,2,8,G(x0),1.3725235878955573,4,1,3,experiments/dtStrategy1SubsetSize3/0200_tree.txt
2018-05-20 12:58,traces/generated/freshTests/0094.trace,450,450,4,3,5,"G(->(x1,G(!(x0))))",266.3344090641476,69,9,3,experiments/dtStrategy1SubsetSize3/0094_tree.txt
2018-05-20 13:02,traces/generated/freshTests/0069.trace,50,50,4,3,3,"G(->(x1,G(!(x0))))",14.470544927055016,15,5,3,experiments/dtStrategy1SubsetSize3/0069_tree.txt
2018-05-20 13:02,traces/generated/freshTests/0006.trace,100,100,2,2,3,G(!(x0)),3.086004765937105,4,1,3,experiments/dtStrategy1SubsetSize3/0006_tree.txt
2018-05-20 13:02,traces/generated/freshTests/0105.trace,100,100,4,3,3,"|(G(!(x0)),F(&(x0,F(x1))))",29.767429274041206,26,8,3,experiments/dtStrategy1SubsetSize3/0105_tree.txt
2018-05-20 13:03,traces/generated/freshTests/0221.trace,81,350,1,2,8,G(x0),3.5730719331186265,3,1,3,experiments/dtStrategy1SubsetSize3/0221_tree.txt
2018-05-20 13:03,traces/generated/freshTests/0197.trace,29,500,6,4,8,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",73.74852670403197,16,8,3,experiments/dtStrategy1SubsetSize3/0197_tree.txt
2018-05-20 13:04,traces/generated/freshTests/0036.trace,50,50,3,3,3,"->(F(x1),U(!(x0),x1))",8.148648998932913,12,2,3,experiments/dtStrategy1SubsetSize3/0036_tree.txt
2018-05-20 13:04,traces/generated/freshTests/0059.trace,400,400,3,3,8,"->(F(x1),U(!(x0),x1))",56.946679341141135,11,2,3,experiments/dtStrategy1SubsetSize3/0059_tree.txt
2018-05-20 13:05,traces/generated/freshTests/0283.trace,300,300,3,3,5,"G(->(x1,G(x0)))",46.061166329076514,26,11,3,experiments/dtStrategy1SubsetSize3/0283_tree.txt
2018-05-20 13:06,traces/generated/freshTests/0135.trace,50,50,1,2,3,F(x0),1.1469871138688177,3,1,3,experiments/dtStrategy1SubsetSize3/0135_tree.txt
2018-05-20 13:06,traces/generated/freshTests/0211.trace,200,200,1,2,5,G(x0),3.177665109047666,3,1,3,experiments/dtStrategy1SubsetSize3/0211_tree.txt
2018-05-20 13:06,traces/generated/freshTests/0085.trace,300,300,4,3,5,"G(->(x1,G(!(x0))))",99.95646062493324,43,7,3,experiments/dtStrategy1SubsetSize3/0085_tree.txt
2018-05-20 13:08,traces/generated/freshTests/0078.trace,200,200,4,3,3,"G(->(x1,G(!(x0))))",40.69164672703482,36,6,3,experiments/dtStrategy1SubsetSize3/0078_tree.txt
2018-05-20 13:09,traces/generated/freshTests/0017.trace,39,250,2,2,8,G(!(x0)),9.707406034925953,4,1,3,experiments/dtStrategy1SubsetSize3/0017_tree.txt
2018-05-20 13:09,traces/generated/freshTests/0114.trace,250,250,4,3,3,"|(G(!(x0)),F(&(x0,F(x1))))",31.763084791833535,22,5,3,experiments/dtStrategy1SubsetSize3/0114_tree.txt
2018-05-20 13:09,traces/generated/freshTests/0230.trace,108,500,1,2,8,G(x0),6.373696580063552,1,1,3,experiments/dtStrategy1SubsetSize3/0230_tree.txt
2018-05-20 13:09,traces/generated/freshTests/0186.trace,350,350,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",139.19820255599916,42,20,3,experiments/dtStrategy1SubsetSize3/0186_tree.txt
2018-05-20 13:12,traces/generated/freshTests/0118.trace,300,300,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",176.92842994397506,50,6,3,experiments/dtStrategy1SubsetSize3/0118_tree.txt
2018-05-20 13:15,traces/generated/freshTests/0253.trace,350,350,2,3,5,"->(F(x1),U(x0,x1))",10.96899109496735,6,2,3,experiments/dtStrategy1SubsetSize3/0253_tree.txt
2018-05-20 13:15,traces/generated/freshTests/0177.trace,200,200,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",85.67313242400996,32,10,3,experiments/dtStrategy1SubsetSize3/0177_tree.txt
2018-05-20 13:16,traces/generated/freshTests/0089.trace,285,350,4,3,8,"G(->(x1,G(!(x0))))",211.37664148700424,43,11,3,experiments/dtStrategy1SubsetSize3/0089_tree.txt
