time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat
5/22/18 21:05,traces/generated/5to10twothree/0144.trace,150,150,1,2,5,G(x0),6.476046223,G(x0),
5/22/18 21:05,traces/generated/5to10twothree/0097.trace,100,4,1,2,10,F(x0),5.871867351,F(x0),
5/22/18 21:05,traces/generated/5to10twothree/0106.trace,225,225,1,2,5,F(x0),9.513657559,F(x0),
5/22/18 21:05,traces/generated/5to10twothree/0148.trace,200,200,1,2,5,G(x0),8.798679754,G(x0),
5/22/18 21:05,traces/generated/5to10twothree/0127.trace,2,200,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",12.35647304,G(x0),
5/22/18 21:05,traces/generated/5to10twothree/0153.trace,11,250,1,2,10,G(x0),14.63629825,G(x0),
5/22/18 21:06,traces/generated/5to10twothree/0130.trace,173,250,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
5/22/18 21:16,traces/generated/5to10twothree/0080.trace,175,175,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600
5/22/18 21:26,traces/generated/5to10twothree/0145.trace,4,150,1,2,10,G(x0),9.083204679,G(x0),
5/22/18 21:26,traces/generated/5to10twothree/0164.trace,125,125,2,3,5,"->(F(x1),U(x0,x1))",242.1691443,"->(F(x1),U(x0,x1))",
5/22/18 21:30,traces/generated/5to10twothree/0107.trace,225,8,1,2,10,F(x0),13.04756089,F(x0),
5/22/18 21:30,traces/generated/5to10twothree/0096.trace,100,100,1,2,5,F(x0),4.344243106,F(x0),
5/22/18 21:30,traces/generated/5to10twothree/0149.trace,11,200,1,2,10,G(x0),11.81597448,G(x0),
5/22/18 21:30,traces/generated/5to10twothree/0126.trace,137,200,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
5/22/18 21:40,traces/generated/5to10twothree/0150.trace,225,225,1,2,5,G(x0),9.451653589,G(x0),
5/22/18 21:41,traces/generated/5to10twothree/0083.trace,200,34,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",546.1009213,"U(F(x1),&(F(x1),x0))",
5/22/18 21:50,traces/generated/5to10twothree/0112.trace,14,25,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",1.167241354,G(x0),
5/22/18 21:50,traces/generated/5to10twothree/0108.trace,250,250,1,2,5,F(x0),10.88694276,F(x0),
5/22/18 21:50,traces/generated/5to10twothree/0099.trace,125,7,1,2,10,F(x0),7.612197433,F(x0),
5/22/18 21:50,traces/generated/5to10twothree/0129.trace,1,225,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",13.6644979,G(x0),
5/22/18 21:50,traces/generated/5to10twothree/0146.trace,175,175,1,2,5,G(x0),7.559952196,G(x0),
5/22/18 21:50,traces/generated/5to10twothree/0125.trace,1,175,6,4,10,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",10.60221089,G(x0),
5/22/18 21:51,traces/generated/5to10twothree/0095.trace,75,6,1,2,10,F(x0),4.682830669,F(x0),
5/22/18 21:51,traces/generated/5to10twothree/0104.trace,200,200,1,2,5,F(x0),9.067644384,F(x0),
5/22/18 21:51,traces/generated/5to10twothree/0151.trace,13,225,1,2,10,G(x0),12.95420331,G(x0),
5/22/18 21:51,traces/generated/5to10twothree/0082.trace,200,200,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600
5/22/18 22:01,traces/generated/5to10twothree/0132.trace,5,5,1,2,5,G(x0),0.328761023,G(x0),
5/22/18 22:01,traces/generated/5to10twothree/0098.trace,125,125,1,2,5,F(x0),5.606333133,F(x0),
5/22/18 22:01,traces/generated/5to10twothree/0109.trace,250,17,1,2,10,F(x0),14.77222341,F(x0),
5/22/18 22:01,traces/generated/5to10twothree/0128.trace,163,225,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
5/22/18 22:11,traces/generated/5to10twothree/0147.trace,12,175,1,2,10,G(x0),10.68310165,G(x0),
5/22/18 22:12,traces/generated/5to10twothree/0124.trace,104,175,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,timeout: 600
5/22/18 22:22,traces/generated/5to10twothree/0105.trace,200,10,1,2,10,F(x0),11.84327214,F(x0),
5/22/18 22:22,traces/generated/5to10twothree/0094.trace,75,75,1,2,5,F(x0),3.429005232,F(x0),
