time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,dt solving time,dt num primitive candidates,dt num primitives used,dt subset sizes,dt tree txt representation
2018-05-21 12:57,traces/generated/freshTests/0159.trace,450,450,1,2,3,F(x0),15.04131868481636,1,1,10,experiments/dtStrategy1Subset10/0159_tree.txt
2018-05-21 12:57,traces/generated/freshTests/0035.trace,5,5,3,3,8,"->(F(x1),U(!(x0),x1))",6.088220151141286,3,1,10,experiments/dtStrategy1Subset10/0035_tree.txt
2018-05-21 12:57,traces/generated/freshTests/0056.trace,350,350,3,3,8,"->(F(x1),U(!(x0),x1))",350.95308628864586,6,1,10,experiments/dtStrategy1Subset10/0056_tree.txt
2018-05-21 13:03,traces/generated/freshTests/0039.trace,100,100,3,3,3,"->(F(x1),U(!(x0),x1))",115.87324990145862,8,1,10,experiments/dtStrategy1Subset10/0039_tree.txt
2018-05-21 13:05,traces/generated/freshTests/0271.trace,100,100,3,3,5,"G(->(x1,G(x0)))",120.51261522434652,3,1,10,experiments/dtStrategy1Subset10/0271_tree.txt
2018-05-21 13:07,traces/generated/freshTests/0155.trace,350,69,1,2,8,F(x0),8.764823883771896,1,1,10,experiments/dtStrategy1Subset10/0155_tree.txt
2018-05-21 13:07,traces/generated/freshTests/0018.trace,300,300,2,2,3,G(!(x0)),17.33561403490603,2,1,10,experiments/dtStrategy1Subset10/0018_tree.txt
2018-05-21 13:08,traces/generated/freshTests/0077.trace,96,150,4,3,8,"G(->(x1,G(!(x0))))",/,/,/,10,experiments/dtStrategy1Subset10/0077_tree.txt
2018-05-21 13:18,traces/generated/freshTests/0250.trace,300,300,2,3,5,"->(F(x1),U(x0,x1))",80.52728608436882,6,1,10,experiments/dtStrategy1Subset10/0250_tree.txt
2018-05-21 13:19,traces/generated/freshTests/0174.trace,150,150,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy1Subset10/0174_tree.txt
2018-05-21 13:29,traces/generated/freshTests/0189.trace,400,400,6,4,3,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy1Subset10/0189_tree.txt
2018-05-21 13:39,traces/generated/freshTests/0204.trace,100,100,1,2,3,G(x0),3.169115724042058,1,1,10,experiments/dtStrategy1Subset10/0204_tree.txt
2018-05-21 13:39,traces/generated/freshTests/0120.trace,350,350,4,3,3,"|(G(!(x0)),F(&(x0,F(x1))))",529.6631658114493,8,4,10,experiments/dtStrategy1Subset10/0120_tree.txt
2018-05-21 13:48,traces/generated/freshTests/0296.trace,333,500,3,3,8,"G(->(x1,G(x0)))",255.19039380550385,3,1,10,experiments/dtStrategy1Subset10/0296_tree.txt
2018-05-21 13:52,traces/generated/freshTests/0023.trace,58,350,2,2,8,G(!(x0)),35.36635157838464,2,1,10,experiments/dtStrategy1Subset10/0023_tree.txt
2018-05-21 13:53,traces/generated/freshTests/0193.trace,305,450,6,4,5,"G(&(x0,->(!(x1),U(!(x1),&(x2,!(x1))))))",/,/,/,10,experiments/dtStrategy1Subset10/0193_tree.txt
2018-05-21 14:03,traces/generated/freshTests/0225.trace,450,450,1,2,3,G(x0),15.374151315540075,1,1,10,experiments/dtStrategy1Subset10/0225_tree.txt
2018-05-21 14:03,traces/generated/freshTests/0101.trace,5,3,4,3,8,"|(G(!(x0)),F(&(x0,F(x1))))",2.7113356478512287,3,1,10,experiments/dtStrategy1Subset10/0101_tree.txt
2018-05-21 14:03,traces/generated/freshTests/0090.trace,400,400,4,3,3,"G(->(x1,G(!(x0))))",241.32014677487314,9,1,10,experiments/dtStrategy1Subset10/0090_tree.txt
2018-05-21 14:07,traces/generated/freshTests/0061.trace,450,450,3,3,5,"->(F(x1),U(!(x0),x1))",235.69252307154238,8,1,10,experiments/dtStrategy1Subset10/0061_tree.txt
2018-05-21 14:11,traces/generated/freshTests/0162.trace,500,500,1,2,3,F(x0),18.338939402252436,1,1,10,experiments/dtStrategy1Subset10/0162_tree.txt
2018-05-21 14:11,traces/generated/freshTests/0246.trace,250,250,2,3,3,"->(F(x1),U(x0,x1))",51.76133119314909,5,1,10,experiments/dtStrategy1Subset10/0246_tree.txt
2018-05-21 14:12,traces/generated/freshTests/0229.trace,500,500,1,2,5,G(x0),20.261748921126127,1,1,10,experiments/dtStrategy1Subset10/0229_tree.txt
2018-05-21 14:13,traces/generated/freshTests/0040.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",131.54905101284385,7,1,10,experiments/dtStrategy1Subset10/0040_tree.txt
2018-05-21 14:15,traces/generated/freshTests/0208.trace,150,150,1,2,5,G(x0),5.854981003329158,1,1,10,experiments/dtStrategy1Subset10/0208_tree.txt
2018-05-21 14:15,traces/generated/freshTests/0143.trace,150,28,1,2,8,F(x0),6.9831362795084715,2,1,10,experiments/dtStrategy1Subset10/0143_tree.txt
2018-05-21 14:15,traces/generated/freshTests/0267.trace,50,50,3,3,3,"G(->(x1,G(x0)))",80.97071193158627,2,1,10,experiments/dtStrategy1Subset10/0267_tree.txt
